SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,SETTLE_PR,OPEN_INT,CHG_IN_OI,VOLUME,TRADE_DATE,UNDERLYING_PRICE,HIGH_PRICE,LOW_PRICE,OPEN_PRICE,CLOSE_PRICE,LAST_PRICE
FINNIFTY,28-08-2025,26700.0,CE,114.35,79560,-4290,1453,14-08-2025,26333.45,137.0,101.05,105.55,114.35,110.85
FINNIFTY,28-08-2025,23500.0,CE,2887.6,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,3469.7,0.0
FINNIFTY,28-08-2025,23500.0,PE,4.0,67080,1105,391,14-08-2025,26333.45,5.45,3.5,5.0,4.0,4.3
FINNIFTY,28-10-2025,25700.0,PE,482.65,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,452.15,0.0
FINNIFTY,28-10-2025,27100.0,PE,1132.45,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1027.4,0.0
FINNIFTY,28-10-2025,27000.0,PE,1074.85,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,976.25,0.0
FINNIFTY,28-08-2025,25100.0,CE,1328.55,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,2169.75,0.0
FINNIFTY,28-08-2025,25150.0,CE,1283.3,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1694.95,0.0
FINNIFTY,28-08-2025,25300.0,CE,1150.6,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,2025.75,0.0
FINNIFTY,28-08-2025,26050.0,CE,579.85,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,986.75,0.0
FINNIFTY,28-08-2025,26450.0,CE,212.45,19760,2405,764,14-08-2025,26333.45,239.45,188.15,192.25,212.45,202.8
FINNIFTY,28-08-2025,26800.0,CE,88.75,101335,-3770,832,14-08-2025,26333.45,107.0,79.8,82.4,88.75,84.3
FINNIFTY,28-08-2025,27850.0,CE,8.1,2860,-2860,105,14-08-2025,26333.45,10.25,7.55,7.65,8.1,8.15
FINNIFTY,28-08-2025,28300.0,CE,4.95,9490,6630,217,14-08-2025,26333.45,5.75,4.95,5.2,4.95,4.95
FINNIFTY,30-09-2025,25300.0,CE,1475.1,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,2628.35,0.0
FINNIFTY,30-09-2025,26100.0,CE,942.8,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,2036.5,0.0
FINNIFTY,30-09-2025,27500.0,CE,342.85,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1202.15,0.0
FINNIFTY,30-09-2025,27800.0,CE,266.55,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1058.7,0.0
FINNIFTY,30-09-2025,28200.0,CE,184.4,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,886.8,0.0
FINNIFTY,30-09-2025,29100.0,CE,73.85,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,575.9,0.0
FINNIFTY,30-09-2025,29500.0,PE,2982.9,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,2248.7,0.0
FINNIFTY,30-09-2025,28400.0,PE,1996.55,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1505.55,0.0
FINNIFTY,30-09-2025,27100.0,PE,1026.8,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,830.35,0.0
FINNIFTY,30-09-2025,26100.0,PE,505.15,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,470.0,0.0
FINNIFTY,30-09-2025,25800.0,PE,391.4,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,389.0,0.0
FINNIFTY,28-08-2025,27700.0,PE,1347.15,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1516.35,0.0
FINNIFTY,28-08-2025,27650.0,PE,1302.05,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1110.5,0.0
FINNIFTY,28-08-2025,27600.0,PE,1257.35,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1455.05,0.0
FINNIFTY,30-09-2025,30500.0,CE,13.75,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,269.4,0.0
FINNIFTY,28-10-2025,24700.0,CE,2158.7,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,2528.85,0.0
FINNIFTY,28-10-2025,25800.0,CE,1372.7,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1714.25,0.0
FINNIFTY,28-10-2025,26100.0,CE,1192.25,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1521.25,0.0
FINNIFTY,28-10-2025,26300.0,CE,1080.65,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1400.15,0.0
FINNIFTY,28-10-2025,27400.0,CE,589.9,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,844.4,0.0
FINNIFTY,28-08-2025,27200.0,PE,850.0,910,650,11,14-08-2025,26333.45,850.0,850.0,850.0,850.0,850.0
FINNIFTY,28-08-2025,27000.0,PE,765.35,8190,0,3,14-08-2025,26333.45,625.05,625.0,625.05,625.0,625.0
FINNIFTY,28-08-2025,25950.0,PE,92.65,15990,325,90,14-08-2025,26333.45,108.9,84.3,108.9,92.65,92.3
FINNIFTY,28-08-2025,25850.0,PE,170.9,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,211.35,0.0
FINNIFTY,28-08-2025,23600.0,PE,0.3,325,0,0,14-08-2025,26333.45,0.0,0.0,0.0,4.0,4.0
FINNIFTY,28-10-2025,24400.0,CE,2402.55,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,2776.15,0.0
FINNIFTY,28-10-2025,26400.0,CE,1027.45,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,1341.9,0.0
FINNIFTY,28-10-2025,27100.0,CE,703.45,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,977.45,0.0
FINNIFTY,28-10-2025,29500.0,CE,136.55,0,0,0,14-08-2025,26333.45,0.0,0.0,0.0,253.95,0.0
